Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.0,-148.0,0.0,top
D1,92.23,-117.0,0.0,top
D2,107.73,-117.0,0.0,top
M1,77.73,-131.0,0.0,top
R1,92.0,-109.5,0.0,top
R2,107.0,-109.5,0.0,top
RV1,101.27,-124.54,0.0,top
SW1,124.75,-131.75,0.0,top
